Date : 2026-05-31 09:16:57
Directory : /home/developer/projects/open-navigator
Total : 1886 files,  -6270 codes, -2355 comments, -1547 blanks, all -10172 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| packages/llm/src/llm/gemini                                                                                                                              |         34 |     10,625 |      1,746 |      1,418 |     13,789 |
| packages/llm/src/llm/gemini (Files)                                                                                                                      |         33 |     10,584 |      1,735 |      1,397 |     13,716 |
| packages/llm/src/llm/gemini/tests                                                                                                                        |          1 |         41 |         11 |         21 |         73 |
| packages/llm/src/llm/governance                                                                                                                          |         27 |     14,086 |      1,236 |      1,753 |     17,075 |
| packages/scrapers                                                                                                                                        |        149 |     10,119 |      1,859 |      2,258 |     14,236 |
| packages/scrapers/scripts                                                                                                                                |         30 |      1,360 |        367 |        246 |      1,973 |
| packages/scrapers/src                                                                                                                                    |        119 |      8,759 |      1,492 |      2,012 |     12,263 |
| packages/scrapers/src/scrapers                                                                                                                           |        119 |      8,759 |      1,492 |      2,012 |     12,263 |
| packages/scrapers/src/scrapers (Files)                                                                                                                   |          1 |          0 |          8 |          1 |          9 |
| packages/scrapers/src/scrapers/ballotpedia                                                                                                               |          4 |      1,430 |        386 |        193 |      2,009 |
| packages/scrapers/src/scrapers/census                                                                                                                    |          8 |      1,125 |        356 |        258 |      1,739 |
| packages/scrapers/src/scrapers/discovery                                                                                                                 |          2 |        772 |        139 |        139 |      1,050 |
| packages/scrapers/src/scrapers/dot                                                                                                                       |          3 |        445 |         47 |         65 |        557 |
| packages/scrapers/src/scrapers/fec                                                                                                                       |          7 |      1,623 |        339 |        415 |      2,377 |
| packages/scrapers/src/scrapers/google_civic                                                                                                              |          4 |        283 |         48 |         64 |        395 |
| packages/scrapers/src/scrapers/irs                                                                                                                       |          7 |      1,137 |        237 |        358 |      1,732 |
| packages/scrapers/src/scrapers/leagueofcities                                                                                                            |          5 |      1,946 |        124 |        193 |      2,263 |
| packages/scrapers/src/scrapers/naco                                                                                                                      |          3 |        576 |         78 |        109 |        763 |
| packages/scrapers/src/scrapers/nces                                                                                                                      |          6 |        925 |        233 |        185 |      1,343 |
| packages/scrapers/src/scrapers/openstates                                                                                                                |          3 |        633 |        268 |        174 |      1,075 |
| packages/scrapers/src/scrapers/parcels                                                                                                                   |         11 |      1,155 |        101 |        223 |      1,479 |
| packages/scrapers/src/scrapers/parcels (Files)                                                                                                           |          9 |      1,138 |        101 |        221 |      1,460 |
| packages/scrapers/src/scrapers/parcels/seeds                                                                                                             |          2 |         17 |          0 |          2 |         19 |
| packages/scrapers/src/scrapers/powerbi_ballot_measures                                                                                                   |          2 |        368 |         47 |         57 |        472 |
| packages/scrapers/src/scrapers/uscm                                                                                                                      |          6 |        392 |         27 |         85 |        504 |
| packages/scrapers/src/scrapers/wikidata                                                                                                                  |         10 |       -708 |       -272 |        -94 |     -1,074 |
| packages/scrapers/src/scrapers/youtube                                                                                                                   |         37 |     -3,343 |       -674 |       -413 |     -4,430 |
| packages/scrapers/src/scrapers/youtube (Files)                                                                                                           |         29 |     -4,331 |       -772 |       -492 |     -5,595 |
| packages/scrapers/src/scrapers/youtube/sql                                                                                                               |          8 |        988 |         98 |         79 |      1,165 |
| pipeline                                                                                                                                                 |         10 |     -2,222 |       -954 |       -563 |     -3,739 |
| scripts                                                                                                                                                  |        339 |    -55,251 |    -10,163 |     -9,715 |    -75,129 |
| scripts/colab                                                                                                                                            |         28 |    -14,518 |     -1,259 |     -1,830 |    -17,607 |
| scripts/database                                                                                                                                         |          1 |        -18 |         -9 |         -6 |        -33 |
| scripts/datasources                                                                                                                                      |        120 |    -21,407 |     -5,529 |     -4,467 |    -31,403 |
| scripts/datasources/ballotpedia                                                                                                                          |          4 |     -1,430 |       -386 |       -193 |     -2,009 |
| scripts/datasources/bls                                                                                                                                  |          2 |         -4 |        -16 |         -4 |        -24 |
| scripts/datasources/cdp                                                                                                                                  |          3 |       -592 |       -115 |       -170 |       -877 |
| scripts/datasources/census                                                                                                                               |         23 |     -3,532 |     -1,081 |       -739 |     -5,352 |
| scripts/datasources/dot                                                                                                                                  |          2 |       -445 |        -46 |        -64 |       -555 |
| scripts/datasources/fec                                                                                                                                  |          7 |     -1,635 |       -345 |       -421 |     -2,401 |
| scripts/datasources/gemini                                                                                                                               |         13 |     -3,222 |       -688 |       -733 |     -4,643 |
| scripts/datasources/google_civic                                                                                                                         |          3 |       -283 |        -47 |        -63 |       -393 |
| scripts/datasources/govwebsites                                                                                                                          |          1 |       -142 |       -108 |        -38 |       -288 |
| scripts/datasources/irs                                                                                                                                  |          6 |     -1,137 |       -236 |       -357 |     -1,730 |
| scripts/datasources/jurisdictions                                                                                                                        |          1 |          0 |          6 |          0 |          6 |
| scripts/datasources/leagueofcities                                                                                                                       |          4 |     -1,946 |       -123 |       -192 |     -2,261 |
| scripts/datasources/localview                                                                                                                            |          1 |       -233 |        -47 |        -67 |       -347 |
| scripts/datasources/master_data                                                                                                                          |          1 |       -281 |        -72 |        -52 |       -405 |
| scripts/datasources/naco                                                                                                                                 |          4 |       -615 |       -103 |       -122 |       -840 |
| scripts/datasources/nces                                                                                                                                 |          5 |       -925 |       -232 |       -184 |     -1,341 |
| scripts/datasources/openstates                                                                                                                           |         21 |     -2,854 |     -1,668 |       -649 |     -5,171 |
